lon	lat	type	loctype	address	north	south	east	west	postal_code	country	administrative_area_level_2	administrative_area_level_1	locality	street	streetNo	point_of_interest	query
-87.8286423	34.27732	locality	approximate	hackleburg, al 35564, usa	34.3111131	34.222313	-87.765146	-87.8966789	35564	united states	marion county	alabama	hackleburg	NA	NA	NA	Hackleburg,AL
-110.0675764	31.7128683	locality	approximate	tombstone, az 85638, usa	31.7326748	31.702722	-110.043657	-110.082215	85638	united states	cochise county	arizona	tombstone	NA	NA	NA	Tombstone,AZ
-86.041098	40.2822598	locality	approximate	tipton, in 46072, usa	40.297539	40.267342	-86.0193641	-86.069845	46072	united states	tipton county	indiana	tipton	NA	NA	NA	Tipton,IN
-76.3007639	43.2311794	locality	approximate	phoenix, ny 13135, usa	43.242342	43.219028	-76.281977	-76.3122608	13135	united states	oswego county	new york	phoenix	NA	NA	NA	Phoenix,NY
-84.2489525	39.6128751	administrative_area_level_3	approximate	miami, oh, usa	39.6941269	39.5845591	-84.2009069	-84.3283079	NA	united states	montgomery county	ohio	NA	NA	NA	NA	Miami+Township,OH
-122.5504041	47.2356536	locality	approximate	university place, wa, usa	47.2450085	47.1855841	-122.5050129	-122.5840178	NA	united states	pierce county	washington	university place	NA	NA	NA	University+Place,WA
-87.9033261	30.5229719	locality	approximate	fairhope, al, usa	30.582291	30.444446	-87.835409	-87.9254726	NA	united states	baldwin county	alabama	fairhope	NA	NA	NA	Fairhope,AL
-73.1112207	44.4905433	neighborhood	approximate	essex junction, essex junction, vt, usa	44.5074429	44.471989	-73.0817619	-73.1447809	NA	united states	chittenden county	vermont	essex junction	NA	NA	NA	Essex+Junction,VT
-71.6440615	43.8224604	locality	approximate	campton, nh, usa	43.8824708	43.782379	-71.543649	-71.7494211	NA	united states	grafton county	new hampshire	campton	NA	NA	NA	Campton,NH
-72.7317658	40.8259321	locality	approximate	eastport, ny, usa	40.8749131	40.8143176	-72.696676	-72.748256	NA	united states	suffolk county	new york	eastport	NA	NA	NA	Eastport,NY
-83.4473809	35.4309291	locality	approximate	bryson city, nc 28713, usa	35.4404239	35.4110879	-83.421171	-83.4686679	28713	united states	swain county	north carolina	bryson city	NA	NA	NA	Bryson+City,NC
-82.8554477	38.7303549	locality	approximate	wheelersburg, oh, usa	38.7665431	38.7115631	-82.8120499	-82.8743531	NA	united states	scioto county	ohio	wheelersburg	NA	NA	NA	Wheelersburg,OH
-109.2029043	41.5874644	locality	approximate	rock springs, wy 82901, usa	41.6476959	41.560209	-109.1845941	-109.2910111	82901	united states	sweetwater county	wyoming	rock springs	NA	NA	NA	Rock+Springs+,WY
-95.0513172	29.4607876	locality	approximate	dickinson, tx, usa	29.479086	29.4252588	-95.009783	-95.1099809	NA	united states	galveston county	texas	dickinson	NA	NA	NA	Dickinson,TX
-84.3443919	40.0517184	locality	approximate	pleasant hill, oh 45359, usa	40.0575229	40.046957	-84.3342298	-84.35226	45359	united states	miami county	ohio	pleasant hill	NA	NA	NA	Pleasant+Hill,OH
-120.0265798	39.2376846	locality	approximate	kings beach, ca, usa	39.2760081	39.2224785	-120.0055874	-120.047967	NA	united states	placer county	california	kings beach	NA	NA	NA	Kings+Beach,CA
-119.8514283	34.4152757	route	geometric_center	ocean road, california 93117, usa	34.41927	34.4089489	-119.8477765	-119.8534459	93117	united states	santa barbara county	california	NA	ocean road	NA	NA	Ocean+Cove,CA
-83.725816	44.5605697	locality	approximate	glennie, mi 48737, usa	44.5685193	44.552619	-83.7098086	-83.7418234	48737	united states	alcona county	michigan	glennie	NA	NA	NA	Glennie,MI
-81.5322149	28.6934076	locality	approximate	apopka, fl, usa	28.7860889	28.62164	-81.459526	-81.588363	NA	united states	orange county	florida	apopka	NA	NA	NA	Apopka,FL
-93.9977778	45.4458332	locality	approximate	clear lake, mn 55319, usa	45.4587291	45.439948	-93.984985	-94.0065329	55319	united states	sherburne county	minnesota	clear lake	NA	NA	NA	Clear+Lake,MN
-83.7430378	42.2808256	locality	approximate	ann arbor, mi, usa	42.3239728	42.222668	-83.6758069	-83.799572	NA	united states	washtenaw county	michigan	ann arbor	NA	NA	NA	Ann+Arbor,MI
-80.6489628	40.6028419	locality	approximate	wellsville, oh, usa	40.619471	40.5824799	-80.6325309	-80.6705009	NA	united states	columbiana county	ohio	wellsville	NA	NA	NA	Wellsville,OH
-109.2029043	41.5874644	locality	approximate	rock springs, wy 82901, usa	41.6476959	41.560209	-109.1845941	-109.2910111	82901	united states	sweetwater county	wyoming	rock springs	NA	NA	NA	Rock+Springs,WY
-88.4472948	41.6411409	locality	approximate	yorkville, il, usa	41.721782	41.5901269	-88.3908189	-88.488678	NA	united states	kendall county	illinois	yorkville	NA	NA	NA	Yorkville,IL
-80.2553407	42.0314456	locality	approximate	fairview, pa, usa	42.047209	42.00772	-80.232473	-80.2827089	NA	united states	erie county	pennsylvania	fairview	NA	NA	NA	Fairview,PA
-88.6475492	36.8225566	locality	approximate	hickory, ky 42051, usa	36.831488	36.8136242	-88.6315418	-88.6635566	42051	united states	graves county	kentucky	hickory	NA	NA	NA	Hickory,KY
-82.0354225	41.4517093	locality	approximate	avon, oh, usa	41.478655	41.4183419	-81.969464	-82.0679671	NA	united states	lorain county	ohio	avon	NA	NA	NA	Avon,OH
-84.155741	31.5785074	locality	approximate	albany, ga, usa	31.623491	31.5222981	-84.0586409	-84.273217	NA	united states	dougherty county	georgia	albany	NA	NA	NA	Albany,GA
-88.06056	43.49833	locality	approximate	fillmore, wi 53021, usa	43.5064234	43.4902355	-88.0445526	-88.0765674	53021	united states	washington county	wisconsin	fillmore	NA	NA	NA	Fillmore,WI
-120.9107882	40.0965579	locality	approximate	crescent mills, ca, usa	40.134104	40.0751731	-120.89891	-120.9437181	NA	united states	plumas county	california	crescent mills	NA	NA	NA	Crescent+Mills,CA
-74.1312662	44.329496	locality	approximate	saranac lake, ny, usa	44.348822	44.3069919	-74.1095239	-74.15684	NA	united states	franklin county	new york	saranac lake	NA	NA	NA	Saranac+Lake+,NY
-84.4013462	42.245869	locality	approximate	jackson, mi, usa	42.2708699	42.203684	-84.3568169	-84.434546	NA	united states	jackson county	michigan	jackson	NA	NA	NA	Jackson,MI
-78.4563914	35.650711	locality	approximate	clayton, nc, usa	35.718509	35.613557	-78.3749869	-78.5094488	NA	united states	johnston county	north carolina	clayton	NA	NA	NA	Clayton,NC
-82.7430016	27.7205407	locality	approximate	saint pete beach, fl, usa	27.7586547	27.6824266	-82.7255881	-82.760415	NA	united states	pinellas county	florida	saint pete beach	NA	NA	NA	St.+Petersburg+Beach,FL
-98.2531724	50.1376358	administrative_area_level_3	approximate	portage la prairie, mb, canada	50.3068051	49.797892	-97.8686119	-98.561931	NA	canada	division no. 9	manitoba	NA	NA	NA	NA	Portage+la+Prairie+,MB
-121.255278	45.114444	locality	approximate	wapinitia, or 97037, usa	45.1223176	45.1065693	-121.2392706	-121.2712854	97037	united states	wasco county	oregon	wapinitia	NA	NA	NA	Wapinitia,OR
-86.1099749	38.40784	locality	approximate	palmyra, in 47164, usa	38.4193501	38.393505	-86.0927958	-86.123537	47164	united states	harrison county	indiana	palmyra	NA	NA	NA	Palmyra,IN
-78.3874978	36.6676413	locality	approximate	boydton, va 23917, usa	36.6720811	36.659431	-78.3812101	-78.39981	23917	united states	mecklenburg county	virginia	boydton	NA	NA	NA	Boydton,VA
-81.4687274	41.6331034	locality	approximate	willowick, oh, usa	41.652615	41.6183479	-81.451437	-81.4889401	NA	united states	lake county	ohio	willowick	NA	NA	NA	Willowick,OH
error	error	NA	NA	NA	error	error	error	error	error	error	error	error	error	error	error	error	error
-107.8302537	32.2617116	route	geometric_center	interstate 10, new mexico, usa	32.3548325	32.0006324	-106.5826136	-109.0479315	NA	united states	NA	new mexico	NA	interstate 10	NA	NA	Interstate+10,NM
-120.7862222	50.1113079	locality	approximate	merritt, bc, canada	50.135064	50.084021	-120.7341759	-120.8233739	NA	canada	thompson-nicola	british columbia	merritt	NA	NA	NA	Merrit+,BC
-89.5297973	35.7453552	locality	approximate	ripley, tn, usa	35.795621	35.700584	-89.504137	-89.572879	NA	united states	lauderdale county	tennessee	ripley	NA	NA	NA	Ripley,TN
-93.1579532	35.2231408	locality	approximate	dardanelle, ar 72834, usa	35.2543531	35.2017478	-93.147549	-93.189988	72834	united states	yell county	arkansas	dardanelle	NA	NA	NA	Dardanelle,AR
-118.972079	37.648546	locality	approximate	mammoth lakes, ca, usa	37.659467	37.580115	-118.937012	-119.0613999	NA	united states	mono county	california	mammoth lakes	NA	NA	NA	Mammoth+Lakes,CA
-125.8483527	49.5927815	natural_feature	approximate	vancouver island, comox-strathcona g, bc v0p, canada	50.8766473	48.3089157	-123.2648809	-128.4318245	NA	canada	strathcona	british columbia	NA	NA	NA	NA	Vancouver+Island+,
-77.5727681	39.6548186	locality	approximate	smithsburg, md 21783, usa	39.6652319	39.6476989	-77.5624858	-77.5907639	21783	united states	washington county	maryland	smithsburg	NA	NA	NA	Smithsburg,MD
-95.61609	36.3125963	locality	approximate	claremore, ok, usa	36.38725	36.2493721	-95.4354561	-95.675938	NA	united states	rogers county	oklahoma	claremore	NA	NA	NA	Claremore,OK
23.3218675	42.6977082	locality	approximate	sofia, bulgaria	42.7877752	42.6030891	23.4569049	23.1909885	NA	bulgaria	sofia	sofia-city	sofia	NA	NA	NA	Sofia+,
-96.298722	50.610446	locality	approximate	fort alexander, mb r0e, canada	50.6175262	50.6033647	-96.2827146	-96.3147294	NA	canada	division no. 19	manitoba	fort alexander	NA	NA	NA	Fort+Alexander+,MB
-83.6368659	39.4886732	locality	approximate	sabina, oh 45169, usa	39.502925	39.4806231	-83.613337	-83.6520439	45169	united states	clinton county	ohio	sabina	NA	NA	NA	Sabina,OH
-123.0595246	43.797623	locality	approximate	cottage grove, or 97424, usa	43.814246	43.777352	-123.024345	-123.083735	97424	united states	lane county	oregon	cottage grove	NA	NA	NA	Cottage+Grove,OR
-82.9460133	39.600618	locality	approximate	circleville, oh 43113, usa	39.632337	39.574749	-82.8969269	-82.961714	43113	united states	pickaway county	ohio	circleville	NA	NA	NA	Circleville,OH
26.980172	39.503055	locality	approximate	burhaniye, burhaniye/balıkesir, turkey	39.5129831	39.491996	26.989822	26.9555719	NA	turkey	burhaniye	balıkesir	burhaniye	NA	NA	NA	Burhaniye+,
-112.169317	33.3628227	neighborhood	approximate	laveen village, phoenix, az, usa	33.4116692	33.304923	-112.1165085	-112.2352768	NA	united states	maricopa county	arizona	phoenix	NA	NA	NA	Laveen,AZ
-92.1476353	32.5184775	locality	approximate	west monroe, la, usa	32.5512189	32.4812451	-92.112634	-92.1977869	NA	united states	ouachita parish	louisiana	west monroe	NA	NA	NA	West+Monroe,LA
-122.7714861	45.4312294	locality	approximate	tigard, or, usa	45.4561791	45.3934709	-122.7435959	-122.835417	NA	united states	washington county	oregon	tigard	NA	NA	NA	Tigard,OR
-112.0339645	43.4916514	locality	approximate	idaho falls, id, usa	43.553466	43.4319421	-111.9740671	-112.093347	NA	united states	bonneville county	idaho	idaho falls	NA	NA	NA	Idaho+Falls,ID
-89.2334236	40.2594846	locality	approximate	atlanta, il 61723, usa	40.2786089	40.252136	-89.2137279	-89.2433789	61723	united states	logan county	illinois	atlanta	NA	NA	NA	Atlanta,IL
-122.2042966	47.8600971	locality	approximate	mill creek, wa, usa	47.88099	47.8386989	-122.165825	-122.227965	NA	united states	snohomish county	washington	mill creek	NA	NA	NA	Mill+Creek,WA
-81.5157535	27.6648274	administrative_area_level_1	approximate	florida, usa	32.546153	20.508621	-76.227424	-91.751105	NA	united states	NA	florida	NA	NA	NA	NA	Tampa+Vay+viewing+from+west,FL
-73.4948445	41.146763	locality	approximate	new canaan, ct, usa	41.2116958	41.113849	-73.448965	-73.5550583	NA	united states	fairfield county	connecticut	new canaan	NA	NA	NA	New+Canaan,CT
-89.4262266	44.5105265	locality	approximate	custer, wi 54423, usa	44.518483	44.502569	-89.4102192	-89.442234	54423	united states	portage county	wisconsin	custer	NA	NA	NA	Custer,WI
-94.241057	39.7402801	locality	approximate	cameron, mo, usa	39.767944	39.7154961	-94.2052059	-94.260104	NA	united states	clinton county	missouri	cameron	NA	NA	NA	Cameron,MO
-156.4392245	20.6899733	sublocality_level_1	approximate	wailea, wailea-makena, hi 96753, usa	20.7004113	20.6795346	-156.4232171	-156.4552319	96753	united states	maui county	hawaii	wailea-makena	NA	NA	NA	Wailea,HI
-156.3319253	20.7983626	natural_feature	approximate	maui, hawaii, usa	21.031413	20.5745785	-155.9790421	-156.6969233	NA	united states	maui county	hawaii	NA	NA	NA	NA	Maui,HI
-156.6825	20.8783333	locality	approximate	lahaina, hi, usa	20.9183461	20.8584088	-156.6538699	-156.6935705	NA	united states	maui county	hawaii	lahaina	NA	NA	NA	Lahaiiina,HI
-158.0152807	21.4513314	locality	approximate	mililani, hi, usa	21.4658301	21.4262321	-157.9924	-158.0301801	NA	united states	honolulu county	hawaii	mililani	NA	NA	NA	Mililani,HI
-80.6895314	37.9631733	locality	approximate	rupert, wv 25984, usa	37.9712811	37.955386	-80.6749969	-80.700218	25984	united states	greenbrier county	west virginia	rupert	NA	NA	NA	Rupert,WV
-155.4727661	20.0789707	locality	approximate	honokaa, hi 96727, usa	20.0870118	20.0669039	-155.452854	-155.4816769	96727	united states	hawaii county	hawaii	honokaa	NA	NA	NA	Honokaa,HI
-122.4340113	47.1553769	locality	approximate	parkland, wa, usa	47.161152	47.118559	-122.3892261	-122.469627	NA	united states	pierce county	washington	parkland	NA	NA	NA	Parkland,WA
-87.4988882	37.3281005	locality	approximate	madisonville, ky, usa	37.39699	37.284134	-87.452179	-87.554958	NA	united states	hopkins county	kentucky	madisonville	NA	NA	NA	Madisonville,KY
-80.3035602	25.9860762	locality	approximate	miramar, fl, usa	25.9953681	25.95677	-80.2061371	-80.440669	NA	united states	broward county	florida	miramar	NA	NA	NA	Miramar,FL
-119.0592705	34.3541659	locality	approximate	santa paula, ca 93060, usa	34.3837659	34.3273189	-119.0371151	-119.0973961	93060	united states	ventura county	california	santa paula	NA	NA	NA	Santa+Paula,CA
-79.456001	43.950219	neighborhood	approximate	oak ridges, richmond hill, on l4e, canada	43.9582516	43.9421853	-79.4399936	-79.4720084	NA	canada	york regional municipality	ontario	richmond hill	NA	NA	NA	Oak+Ridges+,ON
